% low variance
@RELATION myRel

@ATTRIBUTE IMPACT_TYPE NUMERIC
@ATTRIBUTE ENVIRONMENT NUMERIC
@ATTRIBUTE LIGHT NUMERIC
@ATTRIBUTE ROAD_SURFACE_CONDITION NUMERIC
@ATTRIBUTE TRAFFIC_CONTROL_CONDITION NUMERIC
@ATTRIBUTE NO_OF_PEDESTRIANS NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE Y NUMERIC
@ATTRIBUTE Highway NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_01 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_02 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_03 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_04 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_07 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_08 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_09 NUMERIC
@ATTRIBUTE categorical_TRAFFIC_CONTROL_11 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_01 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_02 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_03 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_04 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_05 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_06 NUMERIC
@ATTRIBUTE categorical_ACCIDENT_LOCATION_07 NUMERIC
@ATTRIBUTE class {1.0, 2.0, 3.0}

@DATA
4.0,1.0,7.0,1.0,?,0.0,0.5005234938521808,0.5621658206774498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.5378802555956517,0.7000785382859647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,1.0,1.0,?,0.0,0.5854950003550075,0.7715742365048328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,1.0,?,0.0,0.5170806292824235,0.5070533071531429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,7.0,4.0,?,0.0,0.5755745350716142,0.765302919788553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,7.0,2.0,?,0.0,0.5197145241783732,0.680544441651449,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,2.0,7.0,2.0,?,0.0,0.5701901075457378,0.7597314443052312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,7.0,7.0,2.0,?,0.0,0.6883052540112233,0.7887261622945942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,3.0,3.0,?,0.0,0.032027821366096276,0.7914525367429377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,3.0,3.0,?,0.0,0.255826169653413,0.6074926316657212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,2.0,1.0,2.0,?,0.0,0.6263563169123048,0.7982569813393354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,1.0,1.0,1.0,?,0.0,0.6138786859396657,0.7905312434015173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,1.0,1.0,?,0.0,0.6185789240565747,0.7948224201334568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.6109994000616616,0.7885549311872779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,3.0,1.0,?,0.0,0.4714299070452972,0.6562291479963562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.5443510063381884,0.7094576264943697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,7.0,1.0,?,0.0,0.588715492228201,0.7725945590235455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.49680430740478343,0.6018642817610811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.4586931208182419,0.6476403382506817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,3.0,1.0,2.0,?,0.0,0.3583641173020027,0.5488831297833059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,1.0,1.0,?,0.0,0.5838433889320669,0.7705111185304503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,2.0,?,0.0,0.4896367370978707,0.6612027356432435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,6.0,?,0.0,0.5147603856283558,0.676251687812524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,3.0,1.0,5.0,?,0.0,0.6236077034655851,0.7984743428264949,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,6.0,?,0.0,0.5599127849766674,0.7373303149914676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,3.0,1.0,6.0,?,0.0,0.4827039385308609,0.6613333398170056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,3.0,1.0,6.0,?,0.0,0.5715980315446529,0.7615972440318046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,1.0,3.0,?,0.0,0.648388480564428,0.8033240125761836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,3.0,1.0,5.0,?,0.0,0.68866929602311,0.7891238396825315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,3.0,?,0.0,0.7372662372906227,0.7160626163393573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,5.0,?,0.0,0.6859474594112402,0.7911683782028831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,1.0,2.0,?,0.0,0.5542967843495674,0.7271037289068829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,3.0,1.0,5.0,?,0.0,0.7367621377913984,0.715276067077582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,6.0,?,0.0,0.5167769575549581,0.5067897495733149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,1.0,6.0,?,0.0,0.5141073284445588,0.515587460284209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,1.0,?,0.0,0.7769687210067531,0.7043695671641217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,7.0,7.0,2.0,?,0.0,0.9111042486975522,0.6555475092067269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,5.0,1.0,?,0.0,0.6107747484094963,0.7884076523926069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,5.0,1.0,?,0.0,0.5607622373840213,0.7388468348012935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.45066011563227804,0.6411353961312471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,7.0,1.0,?,0.0,0.4618827401695178,0.6502058149282277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,7.0,1.0,?,0.0,0.3721068890933692,0.5653783055033159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,2.0,?,0.0,0.3023591014553393,0.5688748995846993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,2.0,?,0.0,0.29291401582712595,0.578517183952556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,2.0,?,0.0,0.35803324344582865,0.5433578503926384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,1.0,3.0,1.0,?,0.0,0.6182026009399824,0.7948000942124338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,1.0,1.0,?,0.0,0.6192889265392427,0.7957939180478348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,1.0,1.0,?,0.0,0.6772072477221167,0.7994458900254955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,1.0,1.0,?,0.0,0.5693992396651213,0.758539430689666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,1.0,1.0,?,0.0,0.5692058858287323,0.7582017162242636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,1.0,1.0,?,0.0,0.5528050786519643,0.7243732802654392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,1.0,1.0,?,0.0,0.2905426642408635,0.5809219764258984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,1.0,1.0,?,0.0,0.5528798553190803,0.7245091086061564,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,5.0,1.0,?,0.0,0.5580192790351814,0.7344700014451604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.6193724056479022,0.7955510928538416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,1.0,7.0,1.0,?,0.0,0.5696098113506043,0.7588973025539616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,1.0,?,0.0,0.3124217888169394,0.5544540795642945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,1.0,?,0.0,0.8352628399432183,0.6741422086256392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,3.0,1.0,?,0.0,0.6381363063240366,0.8003902978414317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,5.0,1.0,1.0,?,0.0,0.5684102801507134,0.7564625286193518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,5.0,3.0,?,0.0,0.5764092642106524,0.7659983418362373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,1.0,7.0,1.0,?,0.0,0.5481931598928593,0.7158709814101911,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,7.0,3.0,?,0.0,0.6002472398786018,0.7795749660482869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,7.0,3.0,?,0.0,0.5252198304638114,0.6859273214222412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,3.0,7.0,2.0,?,0.0,0.5451301947202571,0.7101954990056072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,3.0,7.0,0.0,?,0.0,0.5965511801249344,0.7768863600270066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,3.0,7.0,6.0,?,0.0,0.6459909203930909,0.8029566287852674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,3.0,7.0,6.0,?,0.0,0.5856788881269868,0.7713261214311018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3.0,3.0,7.0,6.0,?,0.0,0.5761294732693871,0.7654342632312279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
7.0,1.0,7.0,3.0,?,0.0,0.6502438315712427,0.8036082861136151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
