DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-12-03,07:30:00,03,07,03,03,03,,0,320059.7587,5030725.895,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,07:30:00,03,07,03,03,03,,0,338845.8307,5019528.081,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,10:30:00,03,04,02,01,02,,0,369948.8575,5031140.088,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,14:15:00,03,0,01,01,01,,0,368901.4607,5030669.815,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,15:40:00,03,03,01,01,01,,0,369296.0079,5030931.023,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-03,16:59:00,03,03,01,07,01,,0,368659.7678,5030549.515,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-04,07:30:00,03,03,01,03,01,,0,356944.031,5022494.719,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-04,17:11:00,03,03,01,07,01,,0,363065.17100000003,5025734.787,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-04,17:58:00,03,04,01,07,01,,0,366789.2129,5029577.992,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2018-12-04,17:15:00,03,03,01,07,01,,0,359074.0079,5019185.478,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
